Datos de la Alcantarilla para el año 2018,,,,,,,,,,,,,,,
Fecha,NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N)
1 ene. 2018,3,9,2,73,17,,14,307,1015,1,4,0.6,2,0.2,25
1 ene. 2018,3,8,3,83,17,,12,297,1016,1,6,0.1,0.1,0.2,63
1 ene. 2018,2,11,3,80,16,,14,297,1017,1,3,0.2,0.2,0.2,8
1 ene. 2018,4,9,3,80,15,,14,302,1018,1,2,0.1,0.1,0.2,7
1 ene. 2018,3,9,3,76,13,,14,155,1019,1,0,0.3,0.1,0.2,6
1 ene. 2018,4,6,3,78,12,,12,328,1019,1,1,0.3,0.7,0.2,5
1 ene. 2018,3,13,3,65,10,,16,298,1020,1,0,0.4,0.3,0.2,11
1 ene. 2018,4,19,3,49,8,,25,278,1020,1,1,1.2,5.3,0.2,9
1 ene. 2018,4,22,3,52,8,,28,282,1020,1,1,1.3,4.4,0.2,7
1 ene. 2018,5,24,3,45,7,,31,288,1020,7,1,0.9,2.9,0.2,8
1 ene. 2018,5,20,3,46,10,,27,242,1021,131,1,0.6,1.6,0.2,11
1 ene. 2018,5,11,3,69,14,,18,281,1021,238,1,0.5,1.2,0.2,7
1 ene. 2018,4,10,3,71,15,,15,265,1021,350,1,0.5,0.6,0.2,5
1 ene. 2018,3,10,3,77,17,,14,248,1020,474,1,0.5,0.3,0.2,7
1 ene. 2018,4,11,3,77,19,,17,128,1019,482,1,0.5,0.4,0.2,8
1 ene. 2018,4,8,3,82,21,,14,185,1017,455,1,0.5,0.6,0.2,4
1 ene. 2018,2,9,3,87,21,,12,232,1016,368,1,0.3,0.1,0.2,9
1 ene. 2018,4,10,3,84,20,,15,243,1016,229,2,0.4,0.1,0.2,18
1 ene. 2018,2,17,4,76,19,,21,214,1017,76,1,0.3,0.2,0.2,22
1 ene. 2018,4,18,4,72,15,,24,237,1016,1,2,0.4,0.2,0.2,24
1 ene. 2018,4,29,4,61,14,,35,284,1017,1,2,0.4,0.2,0.2,18
1 ene. 2018,17,66,4,14,12,,92,171,1018,1,0,0.5,0.7,0.2,23
1 ene. 2018,19,70,4,11,10,,98,285,1018,1,1,1.3,2.6,0.3,28
1 ene. 2018,18,64,4,10,10,,92,277,1019,1,0,3,14.6,0.2,10
2 ene. 2018,8,54,4,18,9,,66,237,1019,1,0,2.6,12.1,0.2,14
2 ene. 2018,3,29,4,38,9,,33,233,1019,1,1,1.1,3.8,0.2,10
2 ene. 2018,4,27,3,34,8,,33,300,1019,1,1,1,3.5,0.2,8
2 ene. 2018,4,19,3,38,8,,25,266,1018,1,1,2.6,13.1,0.2,7
2 ene. 2018,4,18,3,47,10,,24,339,1019,1,1,0.7,3.2,0.2,10
2 ene. 2018,2,8,3,69,11,,11,310,1019,1,3,0.4,0.9,0.2,10
2 ene. 2018,5,17,3,53,10,,24,265,1018,1,1,0.4,0.6,0.2,8
2 ene. 2018,5,33,3,35,9,,41,260,1018,1,1,0.6,1.2,0.2,10
2 ene. 2018,19,62,4,11,8,,91,241,1018,1,1,0.5,0.9,0.2,16
2 ene. 2018,66,73,5,3,8,,175,250,1019,11,0,0.5,0.6,0.2,24
2 ene. 2018,46,62,5,19,12,,133,278,1019,131,1,1.4,6.3,0.2,27
2 ene. 2018,12,35,4,53,16,,52,245,1019,268,1,1.6,5.2,0.2,21
2 ene. 2018,6,18,4,72,17,,27,205,1019,378,1,0.6,1.1,0.3,15
2 ene. 2018,3,13,3,78,19,,17,230,1019,453,1,0.4,0.8,0.2,12
2 ene. 2018,5,13,3,83,21,,20,267,1017,485,1,0.5,0.4,0.2,14
2 ene. 2018,3,11,3,87,22,,14,319,1016,442,2,0.3,0.4,0.4,18
2 ene. 2018,5,10,3,87,22,,17,315,1016,357,2,0.4,0.2,0.3,24
2 ene. 2018,5,8,3,83,21,,16,333,1016,223,1,0.3,0.7,0.4,22
2 ene. 2018,3,19,3,71,20,,23,314,1016,70,3,0.3,1.2,0.2,21
2 ene. 2018,3,23,4,63,18,,27,305,1017,2,3,0.4,2.2,3,30
2 ene. 2018,11,48,4,39,17,,64,300,1017,1,2,1,1.9,1.8,28
2 ene. 2018,17,69,4,12,15,,95,265,1017,1,0,0.7,1.8,0.4,34
2 ene. 2018,39,73,5,3,13,,133,305,1017,1,0,1.6,8,2.5,37
2 ene. 2018,14,44,5,41,15,,65,308,1018,1,1,5.4,47,1.3,22
3 ene. 2018,7,42,4,31,14,,54,282,1018,1,1,1.2,5.8,0.4,20
3 ene. 2018,5,40,3,32,13,,48,237,1018,1,1,4,10.2,0.6,16
3 ene. 2018,3,31,3,37,12,,36,270,1018,1,1,3,6.7,0.2,8
3 ene. 2018,3,24,3,36,11,,28,249,1017,1,0,7.3,21.1,0.2,10
3 ene. 2018,4,17,3,49,11,,22,301,1017,1,0,0.8,6.2,0.2,9
3 ene. 2018,5,34,3,22,10,,41,303,1017,1,0,6.3,40.8,0.2,9
3 ene. 2018,10,49,3,11,10,,64,298,1017,1,0,5.2,35.5,0.2,11
3 ene. 2018,10,37,3,34,12,,51,299,1017,1,2,2.5,14.2,0.3,15
3 ene. 2018,23,51,3,20,12,,86,277,1018,1,1,0.7,3.2,0.4,12
3 ene. 2018,58,68,4,4,11,,156,257,1018,6,1,1.3,5.1,0.2,27
3 ene. 2018,30,51,4,22,13,,98,286,1019,113,2,1.3,4.6,0.4,27
3 ene. 2018,10,29,3,46,16,,44,264,1020,261,2,0.8,2.9,0.2,14
3 ene. 2018,6,17,3,58,19,,26,224,1020,378,1,1.3,4.7,0.2,13
3 ene. 2018,5,16,3,63,20,,24,170,1019,430,1,0.6,1.5,0.6,13
3 ene. 2018,4,16,3,65,22,,21,128,1017,450,1,0.6,1.4,1,12
3 ene. 2018,4,16,3,66,24,,22,49,1015,406,0,0.5,1.6,0.7,10
3 ene. 2018,3,15,3,69,23,,19,29,1015,267,1,0.4,1.5,1.3,14
3 ene. 2018,4,13,3,64,23,,19,339,1015,190,2,0.2,0.6,0.4,18
3 ene. 2018,7,23,3,48,22,,33,312,1015,97,1,0.2,0.4,0.6,18
3 ene. 2018,27,51,4,18,19,,93,314,1016,2,1,0.6,1.2,1.8,52
3 ene. 2018,8,41,3,31,18,,54,298,1016,1,2,0.4,1.9,4.9,15
3 ene. 2018,29,59,4,7,16,,103,300,1016,1,1,0.7,2.6,5.7,24
3 ene. 2018,10,48,3,18,16,,64,272,1016,1,1,0.7,2.1,0.8,12
3 ene. 2018,11,38,3,24,15,,54,274,1017,1,2,1,2.1,0.6,13
4 ene. 2018,5,14,3,47,16,,22,311,1017,1,3,0.6,0.9,0.2,10
4 ene. 2018,3,12,3,49,15,,16,296,1017,1,3,0.2,0.2,0.4,10
4 ene. 2018,3,16,3,35,13,,21,258,1017,1,1,0.9,1.6,0.2,5
4 ene. 2018,3,18,3,31,12,,23,262,1016,1,1,1.3,3.2,0.2,6
4 ene. 2018,4,13,3,37,12,,18,279,1016,1,2,8.2,15.5,0.2,5
4 ene. 2018,4,11,3,44,13,,17,270,1015,1,2,2.6,8.6,0.2,3
4 ene. 2018,7,29,3,24,13,,39,287,1015,1,1,4.2,7.4,0.2,5
4 ene. 2018,15,45,4,5,10,,68,250,1014,1,0,1.4,3.4,0.2,10
4 ene. 2018,28,45,4,3,10,,89,236,1014,1,0,1,3.5,0.5,12
4 ene. 2018,31,50,4,6,11,,98,237,1014,5,0,0.7,1.9,0.2,19
4 ene. 2018,14,38,4,25,15,,59,237,1014,121,1,0.5,1.3,0.2,15
4 ene. 2018,8,26,4,41,17,,37,282,1015,265,2,2.3,5.5,0.2,11
4 ene. 2018,4,15,3,53,20,,22,245,1014,384,1,0.8,1.4,0.2,9
4 ene. 2018,5,17,4,52,21,,25,311,1013,459,1,0.5,1.7,0.2,11
4 ene. 2018,6,17,3,59,23,,26,359,1011,477,1,0.5,1.5,0.4,17
4 ene. 2018,4,16,3,68,24,,23,344,1010,441,1,0.5,0.8,2,17
4 ene. 2018,4,17,3,68,25,,24,88,1009,351,0,0.4,1.1,1.4,16
4 ene. 2018,4,21,4,68,26,,27,18,1009,222,1,0.6,1.5,1.7,21
4 ene. 2018,5,24,4,47,24,,31,24,1009,77,1,0.4,1.4,2.3,18
4 ene. 2018,15,48,4,19,19,,72,13,1009,2,0,0.4,2.2,1.8,37
4 ene. 2018,9,40,4,25,17,,54,300,1009,1,1,0.7,27.1,6,36
4 ene. 2018,11,40,4,18,16,,56,321,1010,1,1,0.5,4.7,9.8,24
4 ene. 2018,3,27,4,33,15,,31,311,1010,1,2,0.6,2.2,7.1,18
4 ene. 2018,9,39,4,17,14,,52,281,1010,1,1,1,3.7,3.5,17
5 ene. 2018,10,43,4,8,12,,59,259,1009,1,0,3.4,15.8,0.8,20
5 ene. 2018,7,35,3,15,12,,44,261,1009,1,0,0.7,2.7,0.6,13
5 ene. 2018,4,31,3,17,11,,37,276,1008,1,0,10.6,17,0.2,11
5 ene. 2018,6,34,3,7,9,,44,286,1007,1,0,3.4,8,0.2,11
5 ene. 2018,5,37,3,7,9,,45,268,1007,1,0,3,9.4,0.2,10
5 ene. 2018,7,32,3,9,8,,43,269,1006,1,0,2,9.5,0.3,8
5 ene. 2018,7,28,3,12,8,,40,244,1005,1,0,1.5,6.8,0.4,8
5 ene. 2018,39,37,4,3,7,,97,260,1005,1,0,0.7,4,0.3,12
5 ene. 2018,56,45,4,3,8,,130,266,1005,1,0,1.1,4.3,0.4,11
5 ene. 2018,61,55,5,3,8,,149,276,1004,5,0,0.9,3.7,0.4,18
5 ene. 2018,53,55,4,12,13,,136,234,1004,125,0,0.7,3.5,0.3,21
5 ene. 2018,22,37,3,31,15,,70,281,1004,272,1,1.2,14.1,2.8,13
5 ene. 2018,4,16,3,59,17,,22,191,1004,392,1,0.3,1.9,0.3,5
5 ene. 2018,4,13,3,62,19,,19,128,1002,467,1,0.3,1.8,1,6
5 ene. 2018,4,15,3,68,20,,21,98,1001,488,1,0.5,1.3,0.6,8
5 ene. 2018,4,14,3,70,21,,20,313,999,450,1,0.4,1.2,0.2,10
5 ene. 2018,4,14,3,72,21,,20,48,998,359,1,0.3,0.8,0.3,10
5 ene. 2018,3,12,3,75,22,,16,146,997,233,0,0.3,1,0.2,9
5 ene. 2018,8,37,3,46,20,,49,221,997,82,0,0.3,0.6,0.4,16
