Datos de la Alcantarilla para el año 2019,,,,,,,,,,,,,,,
Fecha,NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N)
1 ene. 2019,27,44,4,5,5,79,86,350,1020,3,0.5,1,3.2,1.3,39
1 ene. 2019,33,40,4,4,4,82,91,327,1020,2,0.4,2.8,3.5,1.3,59
1 ene. 2019,65,45,5,5,4,85,145,357,1020,2,0.4,3.6,5.1,1.5,68
1 ene. 2019,77,45,6,3,3,87,163,280,1020,2,0.4,3,5.2,1.6,54
1 ene. 2019,52,38,5,3,3,86,117,296,1020,1,0.4,2.4,5.5,1.5,32
1 ene. 2019,34,32,4,2,2,87,84,269,1020,1,0.4,0.9,4.7,1.3,8
1 ene. 2019,19,26,4,2,1,89,55,333,1019,1,0.4,0.9,5.8,1.3,15
1 ene. 2019,32,28,4,2,1,91,77,284,1019,1,0.5,1,4.5,1.3,17
1 ene. 2019,22,28,4,2,1,91,61,317,1020,2,0.3,0.9,6.9,1.3,14
1 ene. 2019,29,30,4,2,0,91,75,271,1020,14,0.4,0.9,5.2,1.3,18
1 ene. 2019,30,30,4,4,5,79,76,234,1021,142,0.4,0.9,8.1,1.3,28
1 ene. 2019,14,20,4,19,9,59,40,120,1021,284,0.6,0.9,4.4,1.3,8
1 ene. 2019,7,14,4,33,11,54,25,54,1021,403,0.7,0.9,1.3,1.3,13
1 ene. 2019,7,17,4,42,15,43,27,134,1021,467,0.6,0.8,1.1,1.3,8
1 ene. 2019,6,18,4,49,17,41,28,207,1020,480,0.7,0.8,1.1,1.3,18
1 ene. 2019,5,15,3,56,19,36,23,186,1019,433,0.7,0.9,1.1,1.3,8
1 ene. 2019,4,16,4,62,20,34,21,135,1018,332,0.5,0.8,1.1,1.3,13
1 ene. 2019,3,12,4,63,20,37,16,235,1018,199,1.5,0.9,1.1,1.3,13
1 ene. 2019,3,22,3,47,18,48,26,234,1018,56,1.2,0.8,1.1,1.3,11
1 ene. 2019,3,28,3,38,15,61,32,237,1018,2,1.5,0.8,1.1,1.3,8
1 ene. 2019,3,27,3,35,13,72,31,248,1019,1,0.9,0.8,1.1,1.3,15
1 ene. 2019,18,52,3,5,11,76,79,292,1019,1,0.6,0.9,1.1,1.3,8
1 ene. 2019,20,52,4,2,9,75,82,55,1019,2,0.4,0.9,1.7,1.3,4
1 ene. 2019,10,39,4,3,8,79,54,62,1019,2,0.4,0.8,1.9,1.3,8
2 ene. 2019,13,38,4,2,7,78,58,310,1019,2,0.4,0.8,1.4,1.3,4
2 ene. 2019,27,39,4,2,5,81,80,233,1019,2,0.5,0.8,2.2,1.3,8
2 ene. 2019,30,33,4,2,4,87,78,307,1018,2,0.4,0.9,7.6,1.3,12
2 ene. 2019,27,28,4,2,4,89,70,311,1018,1,0.5,0.9,4,1.3,14
2 ene. 2019,13,25,4,2,3,90,45,20,1018,1,0.3,0.9,4,1.3,12
2 ene. 2019,10,24,4,2,2,89,40,282,1018,1,0.4,0.9,3.9,1.3,4
2 ene. 2019,28,29,4,2,2,87,72,293,1017,1,0.5,0.8,5.1,1.3,7
2 ene. 2019,74,42,6,2,2,84,155,254,1017,1,0.4,0.9,7.1,1.3,10
2 ene. 2019,128,58,8,2,2,81,256,161,1016,1,0.4,0.8,4.9,1.3,18
2 ene. 2019,188,78,10,2,3,76,367,282,1017,15,0.6,0.9,4.6,1.3,32
2 ene. 2019,203,76,10,3,6,68,388,316,1017,133,0.6,0.8,6.8,1.9,49
2 ene. 2019,175,76,10,4,11,55,344,154,1018,283,0.6,0.9,4.6,2.6,46
2 ene. 2019,64,53,6,16,15,45,150,169,1017,401,0.7,0.9,6.8,6.3,36
2 ene. 2019,7,16,4,55,18,31,26,232,1016,471,0.7,0.9,2.1,2.2,5
2 ene. 2019,7,20,4,55,19,29,31,225,1015,481,0.7,0.8,1.1,1.3,8
2 ene. 2019,6,18,4,59,19,29,26,215,1014,440,1.3,0.8,1.1,1.3,8
2 ene. 2019,5,17,4,61,20,28,24,232,1013,342,1.5,0.8,1.1,1.3,6
2 ene. 2019,4,22,4,58,20,26,28,204,1013,201,1,0.8,1.1,1.3,10
2 ene. 2019,90,75,6,16,20,29,214,126,1014,56,0.7,0.8,1.1,1.3,31
2 ene. 2019,5,35,4,40,14,61,43,57,1015,2,1.4,0.8,1.6,1.9,56
2 ene. 2019,3,35,4,37,13,77,40,45,1016,1,1.4,0.8,1.5,1.3,39
2 ene. 2019,3,37,4,27,11,85,41,27,1016,1,0.6,0.9,1.4,1.3,24
2 ene. 2019,4,49,4,13,10,86,55,142,1017,1,0.4,0.8,1.1,1.3,15
2 ene. 2019,30,60,4,3,9,89,105,122,1017,1,0.5,0.9,1.4,1.4,19
3 ene. 2019,31,50,4,2,7,92,97,306,1017,1,0.4,0.9,2.7,1.7,22
3 ene. 2019,23,38,4,2,6,94,73,306,1017,1,0.5,0.9,3.9,1.5,14
3 ene. 2019,9,29,4,4,6,94,43,157,1017,1,0.4,0.8,5.2,1.3,11
3 ene. 2019,13,30,3,2,5,95,50,72,1017,1,0.3,0.8,5.2,1.3,11
3 ene. 2019,8,21,3,3,4,96,33,302,1018,1,0.4,0.8,4.3,1.3,9
3 ene. 2019,9,22,4,2,4,96,36,321,1017,1,0.6,0.8,2.6,1.3,9
3 ene. 2019,30,26,4,2,3,96,72,239,1017,2,0.3,0.9,6.4,1.3,13
3 ene. 2019,88,38,6,2,3,96,173,14,1018,1,0.4,0.8,7.9,1.3,17
3 ene. 2019,117,44,7,2,3,97,223,301,1018,2,0.5,0.8,3.3,1.3,23
3 ene. 2019,159,55,8,2,3,94,298,213,1019,9,0.6,0.8,3.2,1.3,35
3 ene. 2019,178,59,9,2,4,90,332,225,1020,103,0.4,0.8,2.9,1.8,48
3 ene. 2019,55,38,6,14,8,75,121,9,1020,241,0.6,0.8,2.7,1.4,33
