Datos de la Aljorra para el año 2018,,,,,,,,,,,,
Fecha,NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),PM10 (µg/m³N)
1 ene. 2018,3,8,7,70,19,47,13,282,1024,2,1,41
1 ene. 2018,4,8,8,66,18,49,13,319,1026,2,2,62
1 ene. 2018,3,7,10,78,17,44,12,329,1027,1,3,103
1 ene. 2018,3,8,11,77,16,47,13,327,1028,1,1,18
1 ene. 2018,3,10,9,74,15,51,15,330,1029,1,1,5
1 ene. 2018,3,6,8,79,15,49,11,326,1029,1,2,2
1 ene. 2018,3,7,10,75,14,51,12,270,1029,1,2,5
1 ene. 2018,3,8,10,71,13,55,13,180,1030,2,1,5
1 ene. 2018,3,9,11,68,12,56,14,184,1030,2,1,6
1 ene. 2018,4,14,11,47,10,63,20,201,1030,8,1,12
1 ene. 2018,3,8,9,73,12,54,13,305,1031,39,1,8
1 ene. 2018,4,8,8,70,14,48,13,303,1031,112,1,10
1 ene. 2018,4,10,7,74,17,35,16,306,1031,253,1,4
1 ene. 2018,4,11,8,86,20,24,17,262,1030,510,1,17
1 ene. 2018,4,11,8,81,19,34,17,217,1029,501,2,20
1 ene. 2018,5,9,6,79,19,45,16,205,1028,469,2,31
1 ene. 2018,3,7,7,87,19,42,11,214,1027,370,3,63
1 ene. 2018,3,9,7,86,18,49,13,207,1027,191,3,35
1 ene. 2018,3,9,8,82,17,52,14,189,1027,21,2,16
1 ene. 2018,4,11,8,76,16,60,17,178,1027,2,2,27
1 ene. 2018,4,18,9,64,16,65,23,189,1027,1,1,21
1 ene. 2018,3,16,9,59,14,73,21,307,1027,2,1,26
1 ene. 2018,3,11,9,66,14,74,15,298,1028,2,1,14
1 ene. 2018,3,12,9,57,14,70,16,325,1028,2,1,15
2 ene. 2018,3,16,9,37,11,78,20,249,1029,2,1,9
2 ene. 2018,3,13,8,45,11,66,17,305,1029,3,1,10
2 ene. 2018,3,9,7,61,12,52,13,308,1029,2,1,7
2 ene. 2018,3,6,6,70,13,43,10,295,1028,3,1,4
2 ene. 2018,3,7,7,65,13,45,11,307,1028,2,1,8
2 ene. 2018,3,9,9,57,13,52,13,294,1028,2,1,10
2 ene. 2018,3,8,10,59,13,53,12,276,1027,4,1,6
2 ene. 2018,3,9,9,61,13,52,13,298,1027,3,1,8
2 ene. 2018,5,22,7,49,13,55,29,320,1028,2,1,15
2 ene. 2018,19,46,8,11,10,67,76,245,1028,12,1,42
2 ene. 2018,38,53,9,10,12,64,112,300,1028,54,1,87
2 ene. 2018,9,27,6,41,14,61,40,337,1029,62,1,30
2 ene. 2018,4,14,6,63,17,48,20,315,1029,205,1,9
2 ene. 2018,4,12,7,69,19,37,18,195,1028,493,1,13
2 ene. 2018,3,13,9,70,20,35,18,256,1027,490,1,15
2 ene. 2018,4,14,8,77,22,28,20,232,1026,460,1,15
2 ene. 2018,3,11,7,79,22,27,16,11,1026,354,1,18
2 ene. 2018,3,14,9,75,22,27,19,327,1026,187,2,26
2 ene. 2018,4,16,9,67,21,36,22,332,1026,27,2,29
2 ene. 2018,5,24,9,57,18,44,33,334,1027,2,2,37
2 ene. 2018,4,21,8,55,18,46,27,324,1027,1,1,29
2 ene. 2018,4,22,8,48,17,48,28,318,1027,2,1,31
2 ene. 2018,4,21,8,50,18,49,27,303,1027,2,1,22
2 ene. 2018,3,19,9,47,17,53,24,196,1027,2,1,19
3 ene. 2018,3,10,9,55,17,54,15,198,1027,2,1,13
3 ene. 2018,3,13,8,47,16,58,18,225,1027,2,1,13
3 ene. 2018,4,12,8,47,15,60,17,172,1027,3,1,10
3 ene. 2018,3,11,7,42,14,64,16,200,1027,3,1,12
3 ene. 2018,3,7,7,53,15,61,12,289,1027,3,1,8
3 ene. 2018,3,7,8,53,15,59,12,273,1027,3,1,5
3 ene. 2018,3,7,8,57,17,55,12,309,1026,2,1,6
3 ene. 2018,15,12,8,49,17,57,36,317,1026,2,1,16
3 ene. 2018,19,40,10,17,14,67,69,223,1027,2,1,18
3 ene. 2018,24,51,9,7,13,70,87,194,1027,10,1,56
3 ene. 2018,17,41,8,14,14,68,66,201,1028,42,1,40
3 ene. 2018,10,25,9,28,17,62,41,167,1029,65,1,44
3 ene. 2018,5,12,8,44,20,54,19,229,1029,206,1,25
3 ene. 2018,4,16,8,51,23,45,22,167,1028,476,1,25
3 ene. 2018,5,16,7,54,24,40,23,188,1027,449,1,29
3 ene. 2018,3,13,5,58,25,37,18,271,1026,408,1,13
3 ene. 2018,3,11,7,60,25,36,16,267,1025,367,1,17
3 ene. 2018,4,14,7,58,25,37,20,250,1025,160,1,20
