Datos de la Caravaca para el año 2018,,,,,,,,,,,,
Fecha,NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),PM10 (µg/m³N)
1 ene. 2018,3,4,,77,13,51,8,265,938,1,2,8
1 ene. 2018,3,4,,81,11,51,8,255,939,1,2,4
1 ene. 2018,3,4,,81,10,53,8,262,939,1,2,4
1 ene. 2018,3,4,,81,10,55,8,249,939,1,1,5
1 ene. 2018,3,5,,79,9,57,9,210,940,1,1,4
1 ene. 2018,3,5,,76,8,56,9,241,940,1,1,4
1 ene. 2018,3,6,,74,7,56,10,251,940,1,1,4
1 ene. 2018,3,4,,73,6,55,8,243,940,1,1,3
1 ene. 2018,3,5,,72,5,57,9,216,940,1,1,2
1 ene. 2018,3,7,,62,3,62,11,128,941,3,0,6
1 ene. 2018,3,5,,58,5,59,10,206,942,103,1,9
1 ene. 2018,3,5,,56,8,55,10,216,942,359,2,8
1 ene. 2018,3,5,,65,12,37,10,190,942,526,1,8
1 ene. 2018,4,9,,72,15,25,15,129,942,579,1,10
1 ene. 2018,3,5,,78,16,22,9,90,942,600,1,3
1 ene. 2018,3,6,,83,18,9,10,220,940,577,2,4
1 ene. 2018,3,4,,88,18,3,8,247,940,459,2,1
1 ene. 2018,3,4,,87,18,4,8,235,940,291,1,4
1 ene. 2018,3,5,,86,16,8,9,220,939,94,2,5
1 ene. 2018,2,5,,80,13,14,9,230,939,1,1,7
1 ene. 2018,2,5,,76,11,19,8,283,939,1,1,3
1 ene. 2018,2,4,,77,10,27,7,252,939,1,1,5
1 ene. 2018,2,5,,73,10,36,9,259,939,1,1,5
1 ene. 2018,3,6,,71,9,43,10,201,939,1,1,10
2 ene. 2018,3,5,,71,10,48,10,218,940,1,1,9
2 ene. 2018,3,6,,70,9,53,10,146,940,1,1,7
2 ene. 2018,3,4,,73,10,55,9,223,939,1,1,6
2 ene. 2018,2,5,,61,8,58,9,116,939,1,1,6
2 ene. 2018,2,5,,62,8,61,9,159,939,1,1,7
2 ene. 2018,3,5,,64,7,63,9,161,939,1,1,5
2 ene. 2018,3,5,,66,8,61,9,86,939,1,1,4
2 ene. 2018,3,5,,59,6,66,9,168,938,1,0,5
2 ene. 2018,3,5,,55,5,68,10,182,939,1,0,6
2 ene. 2018,6,11,,59,5,70,19,287,939,5,1,9
2 ene. 2018,2,5,,69,8,67,9,20,940,132,1,10
2 ene. 2018,7,21,,48,10,56,33,199,941,361,1,30
2 ene. 2018,5,15,,61,12,51,22,152,941,495,1,26
2 ene. 2018,3,8,,69,13,48,13,78,941,549,1,13
2 ene. 2018,4,8,,72,15,41,13,184,940,568,1,16
2 ene. 2018,3,8,,76,18,31,13,141,940,561,1,19
2 ene. 2018,3,7,,78,18,32,11,93,940,434,1,14
2 ene. 2018,3,8,,76,19,31,12,114,940,258,1,13
2 ene. 2018,3,7,,71,16,42,11,80,940,81,1,20
2 ene. 2018,3,10,,66,14,50,14,208,940,1,1,16
2 ene. 2018,3,10,,66,15,52,14,157,940,1,1,11
2 ene. 2018,3,16,,57,13,56,20,187,940,1,1,19
2 ene. 2018,3,11,,60,13,60,15,235,940,1,1,9
2 ene. 2018,2,9,,61,12,60,12,71,940,1,1,8
3 ene. 2018,3,10,,59,11,63,15,252,941,1,1,8
3 ene. 2018,3,6,,61,10,66,11,275,940,1,1,5
3 ene. 2018,3,5,,58,9,70,10,241,940,1,1,4
3 ene. 2018,3,5,,59,10,67,9,183,939,1,0,4
3 ene. 2018,2,4,,61,13,62,8,235,940,1,1,3
3 ene. 2018,3,4,,61,13,63,8,243,940,1,1,2
3 ene. 2018,2,5,,52,9,72,9,109,940,1,0,4
3 ene. 2018,3,5,,48,8,77,10,122,940,1,0,6
3 ene. 2018,3,4,,54,8,78,9,228,940,1,0,4
3 ene. 2018,24,29,,45,8,80,65,226,940,4,0,7
3 ene. 2018,3,7,,48,10,75,12,135,940,142,0,8
3 ene. 2018,3,6,,54,12,65,11,100,942,362,1,9
3 ene. 2018,4,11,,51,14,60,18,178,942,495,1,18
3 ene. 2018,4,10,,57,17,52,16,182,942,569,1,15
3 ene. 2018,5,12,,64,18,48,19,140,941,573,1,20
3 ene. 2018,4,10,,67,19,45,16,126,940,374,0,12
3 ene. 2018,3,7,,65,19,47,12,65,940,264,1,10
3 ene. 2018,3,7,,64,20,46,10,74,940,318,1,11
3 ene. 2018,2,7,,59,19,52,11,119,940,105,1,13
3 ene. 2018,2,8,,57,15,58,11,270,939,1,1,10
3 ene. 2018,3,14,,50,15,58,18,207,939,1,1,10
3 ene. 2018,3,17,,43,13,62,22,216,939,1,1,12
3 ene. 2018,3,13,,45,12,64,17,197,939,1,0,10
3 ene. 2018,3,10,,46,11,66,15,192,939,1,0,6
4 ene. 2018,3,7,,48,11,74,11,62,940,1,1,7
4 ene. 2018,3,7,,44,10,81,11,186,939,1,1,4
4 ene. 2018,3,5,,42,9,78,9,223,938,1,1,3
4 ene. 2018,2,5,,48,11,69,9,62,938,1,2,5
4 ene. 2018,2,6,,43,9,76,10,211,938,1,0,4
4 ene. 2018,3,5,,46,9,77,9,239,938,1,1,1
4 ene. 2018,2,5,,45,9,72,8,164,937,1,1,2
4 ene. 2018,2,5,,48,9,71,8,91,937,1,1,3
4 ene. 2018,3,5,,48,9,74,9,267,937,1,1,3
4 ene. 2018,7,13,,37,7,79,23,132,937,3,0,10
4 ene. 2018,4,8,,33,9,73,14,129,937,134,0,6
4 ene. 2018,3,7,,45,14,57,12,174,938,360,0,9
4 ene. 2018,6,14,,42,17,49,23,133,938,505,1,17
4 ene. 2018,5,12,,53,19,44,19,91,937,592,1,24
4 ene. 2018,4,9,,52,21,44,15,70,936,611,1,17
4 ene. 2018,3,7,,54,21,42,12,81,935,561,1,11
4 ene. 2018,3,6,,62,22,39,10,77,935,449,1,10
4 ene. 2018,3,5,,66,23,32,10,196,935,290,1,13
4 ene. 2018,3,4,,67,22,33,9,213,934,99,1,6
4 ene. 2018,3,7,,53,16,53,11,193,934,1,0,14
4 ene. 2018,2,8,,49,14,58,12,277,933,1,1,12
4 ene. 2018,3,7,,52,13,55,12,110,933,1,1,8
4 ene. 2018,3,9,,44,12,62,14,214,933,1,1,13
4 ene. 2018,3,8,,43,10,67,12,297,932,1,1,9
5 ene. 2018,3,7,,42,10,72,12,259,932,1,1,10
5 ene. 2018,3,8,,40,9,73,12,192,932,1,0,26
