Datos de la Lorca para el año 2018,,,,,,,,,,,,
Fecha,NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),PM10 (µg/m³N)
1 ene. 2018,2,3,7,57,16,58,6,213,,1,0,4
1 ene. 2018,2,3,7,67,16,46,6,295,,1,1,16
1 ene. 2018,2,3,7,67,15,46,6,303,,1,1,8
1 ene. 2018,2,3,7,64,14,51,6,314,,1,1,4
1 ene. 2018,2,3,7,58,13,56,6,272,,1,2,2
1 ene. 2018,2,3,7,57,12,58,7,337,,1,1,2
1 ene. 2018,2,3,7,54,11,61,6,312,,1,1,2
1 ene. 2018,2,3,7,48,9,66,6,298,,1,1,2
1 ene. 2018,2,3,7,45,8,75,6,253,,1,0,4
1 ene. 2018,2,3,7,46,8,77,6,302,,1,1,2
1 ene. 2018,2,3,7,42,9,75,5,281,,57,1,5
1 ene. 2018,2,3,8,50,12,63,6,293,,160,0,3
1 ene. 2018,2,3,7,53,15,52,6,285,,360,0,3
1 ene. 2018,2,3,8,57,17,42,6,255,,344,0,2
1 ene. 2018,2,3,8,62,19,31,5,236,,454,1,2
1 ene. 2018,2,3,7,65,19,34,6,193,,409,2,16
1 ene. 2018,2,3,7,64,19,44,6,203,,299,3,21
1 ene. 2018,2,3,7,64,20,31,6,230,,152,1,5
1 ene. 2018,2,6,8,61,20,15,9,240,,14,0,4
1 ene. 2018,2,29,8,41,16,18,32,286,,1,0,6
1 ene. 2018,3,38,8,26,15,22,43,211,,1,0,13
1 ene. 2018,3,23,8,34,13,23,26,166,,1,1,7
1 ene. 2018,2,39,7,16,12,29,42,286,,1,0,11
1 ene. 2018,2,18,8,31,11,33,21,277,,1,0,6
2 ene. 2018,2,12,8,33,10,38,15,241,,1,0,6
2 ene. 2018,2,6,7,35,9,44,9,260,,1,0,12
2 ene. 2018,2,6,7,36,10,52,9,263,,1,0,6
2 ene. 2018,2,4,7,36,9,58,7,282,,1,0,9
2 ene. 2018,2,4,7,42,10,65,7,331,,1,1,6
2 ene. 2018,2,6,8,42,9,66,9,322,,1,1,5
2 ene. 2018,2,11,9,37,9,70,14,301,,1,0,4
2 ene. 2018,2,17,8,30,9,76,21,310,,1,1,5
2 ene. 2018,3,19,8,28,9,78,23,298,,1,0,5
2 ene. 2018,9,44,8,7,8,80,57,292,,1,0,14
2 ene. 2018,6,25,7,23,9,75,33,276,,27,0,12
2 ene. 2018,2,13,8,37,13,57,16,272,,179,0,9
2 ene. 2018,4,16,7,35,17,48,22,149,,341,0,18
2 ene. 2018,4,17,7,35,17,50,23,123,,349,1,18
2 ene. 2018,2,10,7,46,19,43,14,147,,429,1,17
2 ene. 2018,2,12,7,47,21,38,15,158,,398,1,27
2 ene. 2018,3,16,7,47,22,31,20,143,,284,1,21
2 ene. 2018,2,12,7,51,22,28,15,100,,132,1,22
2 ene. 2018,2,27,7,35,20,35,30,135,,9,0,38
2 ene. 2018,22,58,8,8,17,45,92,168,,1,0,60
2 ene. 2018,5,36,7,17,15,52,43,245,,1,0,46
2 ene. 2018,2,14,7,33,15,54,17,303,,1,0,8
2 ene. 2018,3,24,7,21,13,61,28,157,,1,0,19
2 ene. 2018,2,13,7,32,14,65,16,291,,1,0,11
3 ene. 2018,2,5,7,41,14,65,8,296,,1,0,5
3 ene. 2018,2,3,7,49,15,61,6,302,,1,1,6
3 ene. 2018,2,3,7,49,14,61,6,307,,1,1,2
3 ene. 2018,2,3,7,45,14,63,6,288,,1,0,3
3 ene. 2018,2,3,7,43,14,66,6,293,,1,0,3
3 ene. 2018,2,3,7,44,14,68,6,288,,1,0,4
3 ene. 2018,2,5,7,37,12,72,8,288,,1,0,4
3 ene. 2018,2,6,7,38,12,76,9,301,,1,1,5
3 ene. 2018,2,19,7,25,13,76,23,317,,1,1,10
3 ene. 2018,3,25,7,21,13,76,29,306,,1,1,22
3 ene. 2018,2,13,7,32,14,70,16,288,,36,0,10
3 ene. 2018,2,9,8,38,17,60,12,266,,169,0,18
3 ene. 2018,2,6,8,39,20,54,10,230,,342,1,11
3 ene. 2018,2,8,8,37,21,50,11,263,,350,1,9
3 ene. 2018,2,11,7,38,24,43,14,145,,431,1,19
3 ene. 2018,2,8,7,46,24,42,11,186,,379,1,19
3 ene. 2018,2,6,7,52,25,40,9,185,,298,1,23
3 ene. 2018,2,8,7,48,25,41,11,126,,107,1,25
3 ene. 2018,2,14,7,33,22,46,16,260,,4,1,17
3 ene. 2018,2,36,7,10,20,52,39,329,,1,1,27
3 ene. 2018,2,21,7,18,18,59,24,272,,1,0,12
3 ene. 2018,2,17,7,19,16,63,20,208,,1,1,11
3 ene. 2018,2,17,7,16,15,65,20,300,,1,0,8
3 ene. 2018,2,9,7,23,14,70,12,276,,1,0,5
4 ene. 2018,2,7,7,26,14,71,10,312,,1,1,3
4 ene. 2018,2,6,7,25,13,76,9,272,,1,0,3
4 ene. 2018,2,5,7,31,14,75,7,277,,1,0,3
4 ene. 2018,2,3,7,36,15,72,6,305,,1,1,2
4 ene. 2018,2,3,7,29,13,76,6,300,,1,0,2
4 ene. 2018,2,4,7,32,13,74,7,311,,1,0,1
4 ene. 2018,3,7,8,25,13,76,11,272,,1,0,2
4 ene. 2018,2,6,7,28,13,76,9,325,,1,1,2
4 ene. 2018,4,21,7,14,12,75,26,306,,1,0,4
4 ene. 2018,5,25,9,10,12,78,32,312,,1,1,17
4 ene. 2018,2,13,9,22,13,72,17,308,,45,1,12
4 ene. 2018,3,11,9,27,17,62,14,296,,173,0,10
4 ene. 2018,2,7,7,34,21,51,10,284,,348,0,9
4 ene. 2018,2,7,7,38,24,42,10,266,,352,0,11
4 ene. 2018,2,11,7,42,24,38,15,194,,457,2,23
4 ene. 2018,2,13,8,46,25,36,16,178,,398,1,38
4 ene. 2018,2,11,7,49,26,34,14,154,,288,1,24
4 ene. 2018,2,9,7,47,27,31,12,249,,143,1,12
4 ene. 2018,2,24,7,28,24,48,26,143,,13,0,52
4 ene. 2018,3,54,7,3,20,58,59,178,,1,0,51
4 ene. 2018,35,59,7,1,18,57,112,261,,1,0,51
4 ene. 2018,26,50,7,1,17,57,89,267,,1,0,41
4 ene. 2018,4,26,7,11,16,61,32,299,,1,0,8
4 ene. 2018,2,13,7,20,15,64,16,270,,1,0,4
5 ene. 2018,2,19,7,12,14,66,22,287,,1,0,4
5 ene. 2018,2,13,7,18,13,72,16,296,,1,1,4
5 ene. 2018,2,4,7,26,13,76,7,305,,1,1,2
5 ene. 2018,2,4,7,26,12,79,7,311,,1,1,1
5 ene. 2018,2,4,7,25,11,85,7,309,,1,1,2
5 ene. 2018,2,4,7,25,10,88,7,310,,1,1,2
5 ene. 2018,3,9,7,20,10,91,13,310,,1,1,3
5 ene. 2018,2,10,7,20,10,94,13,309,,1,1,2
5 ene. 2018,3,13,7,17,10,94,17,310,,1,1,5
5 ene. 2018,3,19,7,12,9,97,23,304,,1,0,9
5 ene. 2018,6,23,8,12,11,90,31,308,,50,1,15
5 ene. 2018,4,14,7,22,14,73,21,292,,178,0,11
5 ene. 2018,2,8,7,37,16,62,11,326,,360,1,7
5 ene. 2018,2,4,7,43,18,54,7,200,,363,1,4
5 ene. 2018,3,11,7,39,19,51,15,195,,461,1,21
5 ene. 2018,2,12,7,41,19,50,15,189,,409,1,27
5 ene. 2018,2,9,6,48,20,45,12,186,,296,1,16
5 ene. 2018,2,10,7,45,20,48,13,126,,138,0,25
5 ene. 2018,2,18,7,33,18,63,21,113,,11,0,20
5 ene. 2018,2,33,7,16,16,75,36,77,,1,0,30
5 ene. 2018,3,31,6,18,14,85,35,183,,1,0,22
5 ene. 2018,5,44,7,2,12,87,52,287,,1,0,24
5 ene. 2018,3,25,7,12,10,86,28,290,,1,0,8
5 ene. 2018,2,25,7,8,9,86,28,259,,1,0,9
6 ene. 2018,2,16,7,16,9,84,19,284,,1,0,4
6 ene. 2018,2,7,7,24,8,87,10,312,,1,0,3
6 ene. 2018,2,12,7,17,7,89,15,301,,1,0,3
6 ene. 2018,2,10,7,15,7,92,13,284,,1,0,2
6 ene. 2018,2,6,7,14,5,98,9,266,,1,0,2
6 ene. 2018,2,5,7,15,5,100,8,289,,1,0,2
6 ene. 2018,2,6,7,14,5,100,9,288,,1,0,2
6 ene. 2018,2,6,7,11,5,100,9,277,,1,0,3
6 ene. 2018,2,8,7,10,5,100,11,289,,1,0,5
6 ene. 2018,3,13,7,5,5,100,17,288,,1,0,5
6 ene. 2018,2,12,7,4,5,100,16,261,,3,0,17
6 ene. 2018,3,11,9,9,7,95,16,286,,39,0,14
6 ene. 2018,2,9,8,14,9,86,12,223,,34,0,13
6 ene. 2018,5,19,8,22,12,88,27,170,,151,1,40
6 ene. 2018,2,11,8,37,13,95,13,153,,16,1,23
6 ene. 2018,2,9,7,41,11,100,12,133,,161,1,15
6 ene. 2018,2,5,8,54,13,95,8,191,,146,2,3
