Datos de la Lorca para el año 2019,,,,,,,,,,,
Fecha,NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),RS (W/m³),VV (m/s),PM10 (µg/m³N)
1 ene. 2019,2,8,,,6,85,11,284,1,0,6
1 ene. 2019,2,7,,,5,86,10,275,1,0,7
1 ene. 2019,2,7,,,5,85,10,286,1,0,5
1 ene. 2019,2,6,,,4,88,9,290,1,0,5
1 ene. 2019,2,5,,,4,87,8,274,1,0,4
1 ene. 2019,2,3,,,3,89,6,262,1,0,3
1 ene. 2019,2,3,,,3,90,6,265,1,0,3
1 ene. 2019,2,4,,,2,92,7,295,1,0,3
1 ene. 2019,2,5,,,2,92,8,282,1,0,3
1 ene. 2019,2,3,,,2,90,6,265,1,0,4
1 ene. 2019,2,3,,,4,84,6,289,73,0,6
1 ene. 2019,2,5,,,8,70,8,284,203,0,4
1 ene. 2019,2,4,,,12,54,7,280,382,0,3
1 ene. 2019,2,3,,,16,41,6,254,382,0,2
1 ene. 2019,2,5,,,18,33,8,153,480,1,4
1 ene. 2019,2,5,,,19,33,8,192,432,2,6
1 ene. 2019,2,4,,,19,37,7,191,321,2,8
1 ene. 2019,2,6,,,18,40,9,188,168,2,5
1 ene. 2019,2,15,,,17,49,18,190,21,2,8
1 ene. 2019,3,25,,,15,60,29,200,1,1,11
1 ene. 2019,5,48,,,12,69,56,240,1,0,23
1 ene. 2019,12,48,,,9,79,66,285,1,0,9
1 ene. 2019,2,20,,,8,83,24,291,1,0,6
1 ene. 2019,2,13,,,7,86,16,258,1,0,6
2 ene. 2019,2,11,,,6,87,14,246,1,0,5
2 ene. 2019,2,7,,,6,81,10,280,1,0,4
2 ene. 2019,2,5,,,6,74,8,298,1,0,3
2 ene. 2019,2,3,,,6,71,6,283,1,0,3
2 ene. 2019,2,3,,,4,78,6,219,1,0,4
2 ene. 2019,2,6,,,4,78,9,270,1,0,3
2 ene. 2019,2,5,,,3,81,8,239,1,1,6
2 ene. 2019,2,15,,,4,80,18,260,1,0,4
2 ene. 2019,4,22,,,2,84,27,236,1,1,6
2 ene. 2019,18,45,,,3,81,72,261,1,0,17
2 ene. 2019,11,36,,,6,67,53,300,72,1,20
2 ene. 2019,5,20,,,11,53,27,318,201,1,13
2 ene. 2019,2,7,,,15,41,10,297,383,0,8
2 ene. 2019,2,8,,,18,34,11,261,383,0,7
2 ene. 2019,8,28,,,19,36,40,171,484,1,18
2 ene. 2019,4,18,,,19,38,23,115,427,1,15
2 ene. 2019,2,12,,51,19,37,15,90,318,0,10
2 ene. 2019,2,12,,56,19,35,15,67,166,0,10
2 ene. 2019,2,24,,49,17,37,27,74,20,0,14
2 ene. 2019,3,44,,29,15,47,49,151,1,0,18
2 ene. 2019,17,59,,10,12,55,85,195,1,0,33
2 ene. 2019,5,40,,12,9,65,48,200,1,0,22
2 ene. 2019,33,56,,1,8,72,107,290,1,0,27
2 ene. 2019,5,25,,9,6,84,33,243,1,0,15
3 ene. 2019,4,23,,10,5,86,28,288,1,0,12
3 ene. 2019,6,21,,10,4,90,29,295,1,0,11
3 ene. 2019,3,16,,12,4,94,20,296,1,0,10
3 ene. 2019,3,16,,10,3,98,20,283,1,0,9
3 ene. 2019,2,10,,13,3,100,13,289,1,0,9
3 ene. 2019,2,11,,15,3,100,14,288,1,0,9
3 ene. 2019,2,12,,12,1,100,15,289,1,0,8
3 ene. 2019,2,10,,16,2,100,13,295,1,0,8
3 ene. 2019,11,25,,7,2,100,43,288,1,0,10
3 ene. 2019,16,29,,7,2,100,53,300,1,0,16
3 ene. 2019,12,28,,7,3,97,47,274,8,0,17
3 ene. 2019,5,18,,16,4,89,26,303,65,1,13
3 ene. 2019,6,22,,19,7,79,31,289,75,0,15
3 ene. 2019,8,25,,23,10,75,36,316,118,0,17
3 ene. 2019,2,12,,37,12,72,15,307,220,0,14
3 ene. 2019,2,8,,54,14,70,11,275,192,0,11
3 ene. 2019,2,12,,53,14,71,15,191,57,0,13
3 ene. 2019,2,16,,49,13,81,18,108,6,0,15
3 ene. 2019,2,29,,38,13,87,32,111,1,0,18
3 ene. 2019,3,54,,18,12,94,59,153,1,0,33
3 ene. 2019,15,75,,4,12,97,98,171,1,0,47
3 ene. 2019,26,68,,2,10,100,107,158,1,0,37
3 ene. 2019,6,37,,4,8,100,46,244,1,0,21
3 ene. 2019,2,19,,12,8,100,23,270,1,0,13
4 ene. 2019,2,13,,14,7,100,16,245,1,0,10
4 ene. 2019,2,12,,13,7,100,15,253,1,0,10
4 ene. 2019,2,11,,12,7,100,14,246,1,0,10
4 ene. 2019,2,10,,15,6,100,13,251,1,0,9
4 ene. 2019,2,7,,21,6,100,10,288,1,0,8
4 ene. 2019,4,5,,26,6,100,10,306,1,0,8
4 ene. 2019,2,7,,22,5,100,10,274,1,0,5
4 ene. 2019,2,11,,15,4,100,14,279,1,0,6
4 ene. 2019,3,13,,14,3,100,18,292,1,0,8
4 ene. 2019,7,15,,13,3,100,27,285,1,0,13
