Date,NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),RS (W/m³),VV (m/s),PM10 (µg/m³N),Month,Hour
2018-01-01 00:00:00,3.0,9.0,2.0,73.0,17.0,,14.0,307.0,1.0,4.0,25.0,01,00
2018-01-01 01:00:00,3.0,8.0,3.0,83.0,17.0,,12.0,297.0,1.0,6.0,63.0,01,01
2018-01-01 02:00:00,2.0,11.0,3.0,80.0,16.0,,14.0,297.0,1.0,3.0,8.0,01,02
2018-01-01 03:00:00,4.0,9.0,3.0,80.0,15.0,,14.0,302.0,1.0,2.0,7.0,01,03
2018-01-01 04:00:00,3.0,9.0,3.0,76.0,13.0,,14.0,155.0,1.0,0.0,6.0,01,04
2018-01-01 05:00:00,4.0,6.0,3.0,78.0,12.0,,12.0,328.0,1.0,1.0,5.0,01,05
2018-01-01 06:00:00,3.0,13.0,3.0,65.0,10.0,,16.0,298.0,1.0,0.0,11.0,01,06
2018-01-01 07:00:00,4.0,19.0,3.0,49.0,8.0,,25.0,278.0,1.0,1.0,9.0,01,07
2018-01-01 08:00:00,4.0,22.0,3.0,52.0,8.0,,28.0,282.0,1.0,1.0,7.0,01,08
2018-01-01 09:00:00,5.0,24.0,3.0,45.0,7.0,,31.0,288.0,7.0,1.0,8.0,01,09
2018-01-01 10:00:00,5.0,20.0,3.0,46.0,10.0,,27.0,242.0,131.0,1.0,11.0,01,10
2018-01-01 11:00:00,5.0,11.0,3.0,69.0,14.0,,18.0,281.0,238.0,1.0,7.0,01,11
2018-01-01 12:00:00,4.0,10.0,3.0,71.0,15.0,,15.0,265.0,350.0,1.0,5.0,01,12
2018-01-01 13:00:00,3.0,10.0,3.0,77.0,17.0,,14.0,248.0,474.0,1.0,7.0,01,13
2018-01-01 14:00:00,4.0,11.0,3.0,77.0,19.0,,17.0,128.0,482.0,1.0,8.0,01,14
2018-01-01 15:00:00,4.0,8.0,3.0,82.0,21.0,,14.0,185.0,455.0,1.0,4.0,01,15
2018-01-01 16:00:00,2.0,9.0,3.0,87.0,21.0,,12.0,232.0,368.0,1.0,9.0,01,16
2018-01-01 17:00:00,4.0,10.0,3.0,84.0,20.0,,15.0,243.0,229.0,2.0,18.0,01,17
2018-01-01 18:00:00,2.0,17.0,4.0,76.0,19.0,,21.0,214.0,76.0,1.0,22.0,01,18
2018-01-01 19:00:00,4.0,18.0,4.0,72.0,15.0,,24.0,237.0,1.0,2.0,24.0,01,19
2018-01-01 20:00:00,4.0,29.0,4.0,61.0,14.0,,35.0,284.0,1.0,2.0,18.0,01,20
2018-01-01 21:00:00,17.0,66.0,4.0,14.0,12.0,,92.0,171.0,1.0,0.0,23.0,01,21
2018-01-01 22:00:00,19.0,70.0,4.0,11.0,10.0,,98.0,285.0,1.0,1.0,28.0,01,22
2018-01-01 23:00:00,18.0,64.0,4.0,10.0,10.0,,92.0,277.0,1.0,0.0,10.0,01,23
2018-01-02 00:00:00,8.0,54.0,4.0,18.0,9.0,,66.0,237.0,1.0,0.0,14.0,01,00
2018-01-02 01:00:00,3.0,29.0,4.0,38.0,9.0,,33.0,233.0,1.0,1.0,10.0,01,01
2018-01-02 02:00:00,4.0,27.0,3.0,34.0,8.0,,33.0,300.0,1.0,1.0,8.0,01,02
2018-01-02 03:00:00,4.0,19.0,3.0,38.0,8.0,,25.0,266.0,1.0,1.0,7.0,01,03
2018-01-02 04:00:00,4.0,18.0,3.0,47.0,10.0,,24.0,339.0,1.0,1.0,10.0,01,04
2018-01-02 05:00:00,2.0,8.0,3.0,69.0,11.0,,11.0,310.0,1.0,3.0,10.0,01,05
2018-01-02 06:00:00,5.0,17.0,3.0,53.0,10.0,,24.0,265.0,1.0,1.0,8.0,01,06
2018-01-02 07:00:00,5.0,33.0,3.0,35.0,9.0,,41.0,260.0,1.0,1.0,10.0,01,07
2018-01-02 08:00:00,19.0,62.0,4.0,11.0,8.0,,91.0,241.0,1.0,1.0,16.0,01,08
2018-01-02 09:00:00,66.0,73.0,5.0,3.0,8.0,,175.0,250.0,11.0,0.0,24.0,01,09
2018-01-02 10:00:00,46.0,62.0,5.0,19.0,12.0,,133.0,278.0,131.0,1.0,27.0,01,10
2018-01-02 11:00:00,12.0,35.0,4.0,53.0,16.0,,52.0,245.0,268.0,1.0,21.0,01,11
2018-01-02 12:00:00,6.0,18.0,4.0,72.0,17.0,,27.0,205.0,378.0,1.0,15.0,01,12
2018-01-02 13:00:00,3.0,13.0,3.0,78.0,19.0,,17.0,230.0,453.0,1.0,12.0,01,13
2018-01-02 14:00:00,5.0,13.0,3.0,83.0,21.0,,20.0,267.0,485.0,1.0,14.0,01,14
2018-01-02 15:00:00,3.0,11.0,3.0,87.0,22.0,,14.0,319.0,442.0,2.0,18.0,01,15
2018-01-02 16:00:00,5.0,10.0,3.0,87.0,22.0,,17.0,315.0,357.0,2.0,24.0,01,16
2018-01-02 17:00:00,5.0,8.0,3.0,83.0,21.0,,16.0,333.0,223.0,1.0,22.0,01,17
2018-01-02 18:00:00,3.0,19.0,3.0,71.0,20.0,,23.0,314.0,70.0,3.0,21.0,01,18
2018-01-02 19:00:00,3.0,23.0,4.0,63.0,18.0,,27.0,305.0,2.0,3.0,30.0,01,19
2018-01-02 20:00:00,11.0,48.0,4.0,39.0,17.0,,64.0,300.0,1.0,2.0,28.0,01,20
2018-01-02 21:00:00,17.0,69.0,4.0,12.0,15.0,,95.0,265.0,1.0,0.0,34.0,01,21
2018-01-02 22:00:00,39.0,73.0,5.0,3.0,13.0,,133.0,305.0,1.0,0.0,37.0,01,22
2018-01-02 23:00:00,14.0,44.0,5.0,41.0,15.0,,65.0,308.0,1.0,1.0,22.0,01,23
2018-01-03 00:00:00,7.0,42.0,4.0,31.0,14.0,,54.0,282.0,1.0,1.0,20.0,01,00
2018-01-03 01:00:00,5.0,40.0,3.0,32.0,13.0,,48.0,237.0,1.0,1.0,16.0,01,01
2018-01-03 02:00:00,3.0,31.0,3.0,37.0,12.0,,36.0,270.0,1.0,1.0,8.0,01,02
2018-01-03 03:00:00,3.0,24.0,3.0,36.0,11.0,,28.0,249.0,1.0,0.0,10.0,01,03
2018-01-03 04:00:00,4.0,17.0,3.0,49.0,11.0,,22.0,301.0,1.0,0.0,9.0,01,04
2018-01-03 05:00:00,5.0,34.0,3.0,22.0,10.0,,41.0,303.0,1.0,0.0,9.0,01,05
2018-01-03 06:00:00,10.0,49.0,3.0,11.0,10.0,,64.0,298.0,1.0,0.0,11.0,01,06
2018-01-03 07:00:00,10.0,37.0,3.0,34.0,12.0,,51.0,299.0,1.0,2.0,15.0,01,07
2018-01-03 08:00:00,23.0,51.0,3.0,20.0,12.0,,86.0,277.0,1.0,1.0,12.0,01,08
2018-01-03 09:00:00,58.0,68.0,4.0,4.0,11.0,,156.0,257.0,6.0,1.0,27.0,01,09
2018-01-03 10:00:00,30.0,51.0,4.0,22.0,13.0,,98.0,286.0,113.0,2.0,27.0,01,10
2018-01-03 11:00:00,10.0,29.0,3.0,46.0,16.0,,44.0,264.0,261.0,2.0,14.0,01,11
2018-01-03 12:00:00,6.0,17.0,3.0,58.0,19.0,,26.0,224.0,378.0,1.0,13.0,01,12
2018-01-03 13:00:00,5.0,16.0,3.0,63.0,20.0,,24.0,170.0,430.0,1.0,13.0,01,13
2018-01-03 14:00:00,4.0,16.0,3.0,65.0,22.0,,21.0,128.0,450.0,1.0,12.0,01,14
2018-01-03 15:00:00,4.0,16.0,3.0,66.0,24.0,,22.0,49.0,406.0,0.0,10.0,01,15
